Date,ADS,ALV,BAS,BAYN,BEI,BMW,CON,1COV,DAI,DHER,DBK,DB1,DPW,DTE,DWNI,EOAN,FRE,FME,HEI,HEN3,IFX,LIN,MRK,MTX,MUV2,RWE,SAP,SIE,VOW3,VNA
2010-01-04,32.08224868774414,50.08597183227539,27.11872673034668,40.36631393432617,39.76298904418945,21.724628448486328,27.99375343322754,,23.235387802124023,,32.05569076538086,40.95159912109375,8.890729904174805,5.1193437576293945,5.067152976989746,14.14454746246338,11.143144607543944,31.52861976623535,38.72804260253906,30.0062313079834,3.538174152374268,42.739540100097656,24.95878601074219,31.838680267333984,64.29769897460939,41.063560485839844,27.50536727905273,43.34327697753906,49.426673889160156,
2010-01-05,33.094581604003906,50.23869705200195,26.707557678222656,39.62907028198242,39.55323791503906,21.900867462158203,29.745004653930664,,23.043569564819336,,32.57297134399414,40.86779403686523,8.903448104858398,5.075876712799072,5.1031341552734375,14.154197692871096,10.887279510498047,30.55402374267578,39.00410842895508,29.47909164428711,3.653699398040772,41.74395751953125,24.77507019042969,31.777935028076172,64.41643524169922,40.80157852172852,27.259037017822266,43.369712829589844,48.46880722045898,
2010-01-06,32.827964782714844,50.62902450561523,26.876863479614254,39.37859725952149,39.52326583862305,22.23978614807129,29.93953895568848,,23.049753189086914,,32.232315063476555,40.36498260498047,9.002021789550781,4.950308799743652,5.095941066741943,14.09623908996582,10.830554008483887,30.49154090881348,39.437931060791016,29.738605499267575,3.6045584678649902,42.45796203613281,24.75976181030273,31.668598175048828,64.00083923339844,40.72414779663086,27.743343353271484,43.528621673583984,49.80988693237305,
2010-01-07,33.11541748046875,50.04636764526367,26.69849395751953,38.86332321166992,39.12517547607422,22.43635368347168,33.77605438232422,,22.721797943115234,,32.377429962158196,39.65266036987305,8.982942581176758,4.8561320304870605,5.108177185058594,13.980267524719238,10.8154296875,30.299962997436523,39.88752365112305,29.284454345703125,3.5450713634490967,42.19649505615234,25.280296325683594,31.700986862182614,64.14926910400389,40.55148696899414,28.478158950805664,44.04504776000977,50.38461685180664,
2010-01-08,32.994598388671875,49.77483749389648,26.61686706542969,38.51974868774414,37.995079040527344,22.13471984863281,34.40020751953125,,22.854839324951172,,33.55694961547852,39.00318908691406,9.195990562438963,4.882695198059082,5.117536067962647,14.125191688537598,10.588531494140623,30.091716766357425,40.345008850097656,28.97628402709961,3.6036958694458012,41.78418731689453,25.02385139465332,31.70504570007324,64.03053283691406,40.49191665649414,28.678564071655273,44.323036193847656,50.92864608764648,
2010-01-11,33.202896118164055,49.21479797363281,26.32058334350586,38.51262283325195,38.70566940307617,21.805967330932614,32.711368560791016,,23.01881217956543,,33.153270721435554,39.28950500488281,9.145113945007324,4.916501045227051,5.326262950897217,14.188055992126465,10.60116195678711,30.5331974029541,40.62106704711914,28.85463905334473,3.500240564346313,42.02554321289063,25.11188316345215,32.033065795898445,64.26801300048828,40.96832275390625,28.95411491394043,44.43562316894531,51.30414962768555,
2010-01-12,32.157241821289055,49.0055046081543,25.38337135314941,38.14759826660156,37.46000671386719,21.172191619873047,31.01364326477051,,22.44953155517578,,32.295413970947266,38.409584045410156,8.935247421264648,4.877863883972168,5.29027271270752,13.951263427734375,10.538084983825684,30.40408706665039,39.50891876220703,29.19525146484375,3.4355809688568115,41.66350936889648,24.86693000793457,31.2474308013916,64.44612121582031,40.55148696899414,28.67438888549805,43.89276123046875,49.96315002441406,
2010-01-13,31.74897575378418,49.09035110473633,25.62220764160156,38.8489875793457,37.3743896484375,21.300983428955078,32.042495727539055,,22.3907470703125,,31.75295639038086,38.45846557617188,9.05607795715332,4.906842231750488,5.42918872833252,13.854591369628904,10.885993003845217,30.73727798461914,40.15569305419922,29.649402618408203,3.544209241867065,42.29204940795898,24.87841033935547,31.15428352355957,64.50548553466797,40.46216583251953,28.970815658569336,44.28997039794922,48.66038131713867,
2010-01-14,32.390533447265625,48.5755729675293,25.673603057861328,39.21401596069336,37.47711563110352,21.616172790527344,31.88304328918457,,22.95693397521973,,31.76554679870605,37.87883377075195,8.93842601776123,4.911671161651611,5.41119384765625,13.82078742980957,11.092772483825684,31.06630706787109,40.54219055175781,30.24952507019043,3.5881779193878174,42.55852508544922,24.981748580932614,30.89510154724121,64.08989715576172,40.89089584350586,29.517749786376953,44.48856735229492,48.66038131713867,
2010-01-15,32.42386245727539,47.95331954956055,25.13243865966797,38.033050537109375,36.53536987304688,21.439937591552734,30.89594841003418,,22.579479217529297,,30.59235954284668,37.35506057739258,8.72537899017334,4.846472263336182,5.490373611450195,13.46076774597168,11.265442848205565,30.76226806640625,39.437931060791016,30.20086479187012,3.4881708621978764,41.84453201293945,25.37215232849121,30.69667053222656,63.021240234375,40.56337356567383,28.473979949951172,43.97884368896485,47.09711837768555,
2010-01-18,32.63632202148437,47.96463394165039,25.588951110839844,38.7917594909668,37.53704071044922,21.758520126342773,31.89822006225586,,22.966217041015625,,30.76264762878418,37.54362106323242,8.817594528198242,4.795278549194336,5.413360595703125,13.656455993652346,11.158268928527832,30.820575714111328,39.437931060791016,30.322519302368164,3.49075698852539,41.749000549316406,25.08892250061035,31.15428352355957,64.35707092285156,40.354976654052734,28.33620643615723,44.21051406860352,47.22740936279297,
